"DVD movie: Title (Year)", "Description"
"DVD movie: Lowriders (2016)", "A young street artist in East Los Angeles is caught between his fathers obsession with lowrider car culture, his ex-felon brother and his need for self-expression."
"DVD movie: Pirates of the Caribbean: On Stranger Tides (2011)", "Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too."
"DVD movie: Miss Sloane (2016)", "In the high-stakes world of political power-brokers, Elizabeth Sloane is the most sought after and formidable lobbyist in D.C. But when taking on the most powerful opponent of her career, she finds winning may come at too high a price."
"DVD movie: Fallen (2016)", "A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years."
"DVD movie: Star Trek Beyond (2016)", "The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy who puts them and everything the Federation stands for to the test."
"DVD movie: The Last Face (2016)", "A director (Charlize Theron) of an international aid agency in Africa meets a relief aid doctor (Javier Bardem) amidst a political/social revolution, and together face tough choices ... See full summary »"
"DVD movie: Star Wars: Episode VII - The Force Awakens (2015)", "Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance."
"DVD movie: Underworld: Blood Wars (2016)", "Vampire death dealer, Selene (Kate Beckinsale) fights to end the eternal war between the Lycan clan and the Vampire faction that betrayed her."
"DVD movie: Mothers Day (2016)", "Three generations come together in the week leading up to Mothers Day."
"DVD movie: John Wick (2014)", "An ex-hitman comes out of retirement to track down the gangsters that took everything from him."
"DVD movie: The Dark Knight (2008)", "When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the Dark Knight must come to terms with one of the greatest psychological tests of his ability to fight injustice."
"DVD movie: Silence (2016)", "In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism."
"DVD movie: Dont Breathe (2016)", "Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isnt as helpless as he seems."
"DVD movie: Me Before You (2016)", "A girl in a small town forms an unlikely bond with a recently-paralyzed man shes taking care of."
