"DVD movie: Title (Year)", "Description"
"DVD movie: Dawn of the Planet of the Apes (2014)", "A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier."
"DVD movie: Tropic Thunder (2008)", "Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying."
"DVD movie: The Conjuring 2 (2016)", "Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by a malicious spirit."
"DVD movie: Ant-Man (2015)", "Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world."
"DVD movie: Bridget Joness Baby (2016)", "Bridgets focus on single life and her career is interrupted when she finds herself pregnant, but with one hitch ... she can only be fifty percent sure of the identity of her babys father."
"DVD movie: The VVitch: A New-England Folktale (2015)", "A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession."
"DVD movie: Cinderella (2015)", "When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her scheming step-sisters. Never one to give up hope, Ellas fortunes begin to change after meeting a dashing stranger."
"DVD movie: Realive (2016)", "Marc (Tom Hughes) is diagnosed with a disease and is given one year left to live. Unable to accept his own end, he decides to freeze his body. Sixty years later, in the year 2084, he ... See full summary »"
"DVD movie: Forushande (2016)", "While both participating in a production of Death of a Salesman, a teachers wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wifes traumatized objections."
"DVD movie: Love (2015)", "Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed."
"DVD movie: Billy Lynns Long Halftime Walk (2016)", "19-year-old Billy Lynn is brought home for a victory tour after a harrowing Iraq battle. Through flashbacks the film shows what really happened to his squad - contrasting the realities of war with Americas perceptions."
"DVD movie: Crimson Peak (2015)", "In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers."
"DVD movie: Drive (2011)", "A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor."
"DVD movie: Trainwreck (2015)", "Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy."
"DVD movie: The Light Between Oceans (2016)", "A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from a drifting rowing boat."
"DVD movie: Below Her Mouth (2016)", "An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever."
"DVD movie: Spotlight (2015)", "The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
"DVD movie: Morgan (2016)", "A corporate risk-management consultant must decide whether or not to terminate an artificially created humanoid being."
"DVD movie: Warrior (2011)", "The youngest son of an alcoholic former boxer returns home, where hes trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
"DVD movie: Captain America: The First Avenger (2011)", "Steve Rogers, a rejected military soldier transforms into Captain America after taking a dose of a Super-Soldier serum. But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization."
"DVD movie: Hacker (2016)", "With the help of his new friends Alex Danyliuk turns to a life of crime and identity theft."
"DVD movie: Into the Wild (2007)", "After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
"DVD movie: The Imitation Game (2014)", "During World War II, mathematician Alan Turing tries to crack the enigma code with help from fellow mathematicians."
